Test name,MacBook Air 2020 / 1 CPU,MacBook Air 2020 / 8 CPU,MacBook Pro 2021 / 1 CPU,MacBook Pro 2021 / 10 CPU,"MacBook Pro 2021, Docker aarch64 / 1 CPU","MacBook Pro 2021, Docker aarch64 / 8 CPU","MacBook Pro 2021, Docker x86_64 / 1 CPU","MacBook Pro 2021, Docker x86_64 / 8 CPU",Mac mini 2018 / 1 CPU,Mac mini 2018 / 6 CPU,"Mac mini 2018, Docker aarch64 / 1 CPU","Mac mini 2018, Docker aarch64 / 5 CPU","Mac mini 2018, Docker x86_64 / 1 CPU","Mac mini 2018, Docker x86_64 / 5 CPU"
Dhrystone 2 using register variables,58535769.6,329491489.8,59952240.9,513329209.8,77610262.1,463901586.0,4491318.2,26850373.9,46252386.2,229006322.0,5495772.1,23732832.7,45838302.1,205031557.0
Double-Precision Whetstone,7375.1,45704.2,7416.7,64556.2,8265.0,49960.5,440.2,2678.7,7841.8,45669.8,320.2,1370.3,8079.7,39653.0
Execl Throughput,1670.9,7261.6,1659.1,9988.7,730.3,2047.8,72.2,364.9,718.6,3352.3,50.9,194.0,783.5,2053.4
File Copy 1024 bufsize 2000 maxblocks,1014144.4,847118.9,1006501.5,275688.2,1430.5,1318.5,1431.5,1311.5,580864.9,1016024.0,1921.5,1857.0,1907.5,1858.0
File Copy 256 bufsize 500 maxblocks,232820.5,178481.5,207882.5,70743.4,362.0,328.0,359.5,328.0,135123.5,290956.0,483.5,458.5,468.5,452.5
File Copy 4096 bufsize 8000 maxblocks,3043166.6,2269840.3,2767377.7,1107898.4,4781.0,4406.0,4741.5,4390.5,1346663.2,4576496.0,7573.5,7172.0,7547.5,7216.6
Pipe Throughput,1988897.6,1423373.8,2097939.5,1052633.7,1307087.8,7793444.8,911928.4,5404381.6,1061380.7,3617471.6,773331.5,3444453.9,1350479.2,6010813.0
Pipe-based Context Switching,345293.5,270808.7,355333.8,230209.2,24035.6,1684284.1,22123.5,1336753.3,176562.6,698478.0,23363.4,239405.9,48212.0,334429.2
Process Creation,3961.1,13057.6,3835.7,17205.2,3911.1,14751.2,639.2,4718.4,2730.3,7718.6,361.4,1785.4,4003.3,32675.8
Shell Scripts (1 concurrent),7328.5,20605.9,7322.0,28641.2,1111.8,1775.4,303.1,1203.4,3989.7,11529.7,246.2,590.4,2070.7,3623.7
Shell Scripts (8 concurrent),2460.9,2610.0,2918.1,3745.6,227.1,228.6,117.7,169.0,1445.1,1696.1,71.1,79.0,440.1,430.1
System Call Overhead,1380734.7,4145880.9,1394864.1,3529705.0,870042.2,4562425.1,582400.0,3187358.8,652063.2,3027332.8,495309.5,2129232.8,1062659.3,4467588.2
System Benchmarks Index Score:,1509.4,2725.2,1514.0,2442.1,149.5,474.2,51.8,201.1,878.4,2785.5,47.8,129.6,188.2,488.5
